CATEGORIA_PRODUCTO,CODIGO_PRODUCTO,DESCRIPCION_PRODUCTO,PRECIO_BRUTO_PRODUCTO,IVA_PRODUCTO,PRECIO_IVA_PRODUCTO,CANTIDAD ,TIPO_ITEM
FILTRO ACEITE ,COA-20,DODGE- FIAT -TOYOTA,"13,002",2470.38,"15,472",1,PRODUCTO
FILTRO ACEITE ,CO-52,HYUNDAI -LUV 1.6/2.3,"10,429",1981.51,"12,411",0,PRODUCTO
FILTRO ACEITE ,COA-28,KIA- HYUNDAI- MITSUBICHI-DODGE,"11,340",2154.6,"13,495",1,PRODUCTO
FILTRO ACEITE ,CO-AR9,RENAULT  - MITSUBICHI,"7,506",1426.14,"8,932",3,PRODUCTO
FILTRO ACEITE ,CO-18,CHEVROLET -GEELY-SUZUKI ,"7,500",1425,"8,925",16,PRODUCTO
FILTRO ACEITE ,COA-223,FORD -MAZDA -TOYOTA,"8,529",1620.51,"10,150",0,PRODUCTO
FILTRO ACEITE ,COA-329,FORD,"8,907",1692.33,"10,599",2,PRODUCTO
FILTRO ACEITE ,COA- 111,CHEVROLET  OPTRA - EPICA TRIPTONIC ,"10,342",1964.98,"12,307",0,PRODUCTO
FILTRO ACEITE ,HCX-5566,ACEITE CITROEN. XSARA. KIA. HYUNDAI,"7,320",1390.8,"8,711",5,PRODUCTO
FILTRO ACEITE,PCX-3387,ACEITE (R5) CHEVROLET:AVEO. DAEWO:CIELO,"6,720",1276.8,"7,997",25,PRODUCTO
FILTRO ACEITE ,COA-14476,SPARK,"7,506",1426.14,"8,932",10,PRODUCTO
FILTRO ACEITE ,COA -1402,HONDA -HYUNDAI,"7,694",1461.86,"9,156",4,PRODUCTO
FILTRO ACEITE ,COA-1406,G.VITARA. PATH FINDER. NEW RAV 4,"6,638",1261.22,"7,899",0,PRODUCTO
FILTRO ACEITE ,COA- 1616,CHEVROLET  SAIL,"6,638",1261.22,"7,899",16,PRODUCTO
FILTRO ACEITE ,CO-58,HYUNDAI - KIA  MAZDA -NISSAN,"5,586",1061.34,"6,647",3,PRODUCTO
FILTRO ACEITE,PCX-ZZD2,TOYOTA FORD SKODA VOLSKSWAGEN,"8,160",1550.4,"9,710",10,PRODUCTO
FILTRO ACEITE ,COA-3603,RENAULT  LOGAN- SIMBOL-MEGANNE-TWINGO,"9,330",1772.7,"11,103",0,PRODUCTO
FILTRO ACEITE ,COA -323,MAZDA 323,"10,352",1966.88,"12,319",2,PRODUCTO
FILTRO ACEITE ,COA-4050,CHEVROLET  SAMURAI SUZUKI,"11,713",2225.47,"13,938",4,PRODUCTO
